; Tables for Std model AutoHardSize capacity look-up rules
TABLE OffSmlCECStd19020012STrmlUnit
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd
;,,,,,(cfm),(cfm),( cfm)
,"BaseVAVNoReheatTrmlUnit","Uncontrolled","BaseAirSys7","Core_ZN Thermal Zone",1124.641,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-2","Uncontrolled","BaseAirSys7-2","Perimeter_ZN_1 Thermal Zone",1088.863,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-3","Uncontrolled","BaseAirSys7-3","Perimeter_ZN_2 Thermal Zone",644.020,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-4","Uncontrolled","BaseAirSys7-4","Perimeter_ZN_3 Thermal Zone",904.913,-99996.000,-99996.000,""
,"BaseVAVNoReheatTrmlUnit-5","Uncontrolled","BaseAirSys7-5","Perimeter_ZN_4 Thermal Zone",737.201,-99996.000,-99996.000,""
ENDTABLE
TABLE OffSmlCECStd19020012SCoilClg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,DXSEER,DXEER,NumClgStages
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"BaseSys7 CoilClg","DirectExpansion","BaseAirSys7","n/a",31717.645,33091.355,-99996.00000,13.000,10.845,1
,"BaseSys7 CoilClg-2","DirectExpansion","BaseAirSys7-2","n/a",30708.597,32038.605,-99996.00000,13.000,10.845,1
,"BaseSys7 CoilClg-3","DirectExpansion","BaseAirSys7-3","n/a",18851.337,19667.800,-99996.00000,13.000,10.845,1
,"BaseSys7 CoilClg-4","DirectExpansion","BaseAirSys7-4","n/a",31131.288,32479.603,-99996.00000,13.000,10.845,1
,"BaseSys7 CoilClg-5","DirectExpansion","BaseAirSys7-5","n/a",22919.076,23911.715,-99996.00000,13.000,10.845,1
ENDTABLE
TABLE OffSmlCECStd19020012SCoilHtg
PropName,BaseName,Type,System,Zone,CapTotNetRtd,CapTotGrossRtd,FluidFlowRtDsgn,FurnAFUE,FurnThrmlEff,
;,,,,,(Btu/hr),(Btu/hr),( gpm),
,"BaseSys7 CoilHtg","Furnace","BaseAirSys7","n/a",29287.712,29287.712,0.00000,0.780,0.800
,"BaseSys7 CoilHtg-2","Furnace","BaseAirSys7-2","n/a",25861.125,25861.125,0.00000,0.780,0.800
,"BaseSys7 CoilHtg-3","Furnace","BaseAirSys7-3","n/a",15312.475,15312.475,0.00000,0.780,0.800
,"BaseSys7 CoilHtg-4","Furnace","BaseAirSys7-4","n/a",23051.162,23051.162,0.00000,0.780,0.800
,"BaseSys7 CoilHtg-5","Furnace","BaseAirSys7-5","n/a",16730.800,16730.800,0.00000,0.780,0.800
ENDTABLE
TABLE OffSmlCECStd19020012SFan
PropName,BaseName,CtrlMthd,System,Zone,FlowCap,FlowMin,FlowEff,ModelingMthd,TotStaticPress,MtrBHP,MtrHP,MtrPos,MtrEff
;,,,,,(cfm),(cfm),,,(inH2O),(hp),(hp),
,"BaseSys7 Fan","ConstantVolume","BaseAirSys7","n/a",1124.641,-99996.000,0.650,"BrakeHorsePower",3.877,1.057,1.500,"InAirStream",0.865
,"BaseSys7 Fan-2","ConstantVolume","BaseAirSys7-2","n/a",1088.863,-99996.000,0.650,"BrakeHorsePower",3.877,1.024,1.500,"InAirStream",0.865
,"BaseSys7 Fan-3","ConstantVolume","BaseAirSys7-3","n/a",644.020,-99996.000,0.650,"BrakeHorsePower",3.877,0.605,0.750,"InAirStream",0.855
,"BaseSys7 Fan-4","ConstantVolume","BaseAirSys7-4","n/a",904.913,-99996.000,0.650,"BrakeHorsePower",3.877,0.851,1.000,"InAirStream",0.855
,"BaseSys7 Fan-5","ConstantVolume","BaseAirSys7-5","n/a",737.201,-99996.000,0.650,"BrakeHorsePower",3.877,0.693,0.750,"InAirStream",0.855
ENDTABLE
TABLE OffSmlCECStd19020012SOACtrl
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration
;
,"BaseSys7 OACtrl","NoEconomizer","BaseAirSys7","UNDEFINED"
,"BaseSys7 OACtrl-2","NoEconomizer","BaseAirSys7-2","UNDEFINED"
,"BaseSys7 OACtrl-3","NoEconomizer","BaseAirSys7-3","UNDEFINED"
,"BaseSys7 OACtrl-4","NoEconomizer","BaseAirSys7-4","UNDEFINED"
,"BaseSys7 OACtrl-5","NoEconomizer","BaseAirSys7-5","UNDEFINED"
ENDTABLE
